Entity Label	Entity Clusters( all variations of E)
Arabesque Records	['Arabesque Records', 'Arabesque Recordings']
@Home Network	['@Home Network', 'At Home Network', '@Home Corporation', 'Excite@Home']
@WalmartLabs	['@WalmartLabs', 'Kosmix']
108 Shop	['108 Shop', '108shop']
19 Entertainment	['19 Entertainment', '19 Entertainment Ltd.']
1E	['1E', '1-e', '1e', '1-E']
1st Word/1st Word Plus	['1st Word/1st Word Plus', '1st Word / 1st Word Plus', '1st Word', '1st Word Plus']
2 Dés Sans Faces	['2 D\xc3\xa9s Sans Faces', '2 Des Sans Faces']
21 Cineplex	['21 Cineplex', 'Cineplex 21']
21st Century Insurance	['21st Century Insurance', '20th Century Insurance', '21st Century Insurance Group', '21ST CENTURY PREMIER INSURANCE COMPANY', '21st Century Insurance Company', '21st Century Premier Insurance Company', '21st century Insurance']
22nd Century Media	['22nd Century Media', 'The Frankfort Station', 'The Homer Horizon', 'The Mokena Messenger', 'The New Lenox Patriot', 'The Orland Park Prairie', 'The Tinley Junction', 'Tinley Junction', 'Tinley junction', 'The Glenview Lantern', 'The Lockport Legend', 'The Northbrook Tower', 'The Wilmette Beacon', 'The Winnetka Current', 'Orland Park Prairie']
24 Hour Service Station	['24 Hour Service Station', '24hourservicestation', '24 Hour Distribution']
28th Air Detachment	['28th Air Detachment', 'Aviodetachment-28', 'Aviodetachment 28']
2K Play	['2K Play', 'Global Star Software']
300 Entertainment	['300 Entertainment', 'Raz Simone']
343 Industries	['343 Industries', 'Halo Waypoint', '343 industries', '343i', 'Halo: Waypoint']
361˚	['361\xcb\x9a', '361 Degrees', '361 degrees']
3ality Technica	['3ality Technica', '3ality Digital', '3ality']
3Com	['3Com', '3COM', '3com', 'Comworks', 'CommWorks', 'CommWorks Corporation', 'Comm Works', 'Commworks', '3Com Corporation', '3Com Corp.']
3G Studios	['3G Studios', '3G Studios, Inc.']
3H Biomedical	['3H Biomedical', '3h biomedical']
430 West Records	['430 West Records', '430 West']
49s	['49s', "49's"]
4mm Games	['4mm Games', 'Gary Foreman', 'Gary foreman']
550 Music	['550 Music', '550 (record label)', 'Sony 550', 'Sony 550 Music', '550 Records']
5pb.	['5pb.', '5bp', '5bp.', '5pb', '5pb. Records']
5th Cell	['5th Cell', '5TH Cell']
7 Up	['7 Up', '7UP Beverage', '7-Up', '7-Up PLUS!', '7-UP', '7-up', 'Bib-Label Lithiated Lemon-Lime Soda', '7-Up Gold', '7UP', 'Dn L', 'Seven Up', '7Up', '7 Up Plus', '7Up Plus', '7up', '7 UP', '7 up', 'Seven-Up', 'The Uncola', 'Uncola', 'Lithiated Lemon', 'Fresh-Up Freddie', '7 Up Free', '7 Up Gold', '7 Up Ice Cola', 'Cherry 7-Up', 'Cherry 7Up', 'Cherry 7 Up', 'Cherry 7 Up Antioxidant', 'Cherry Seven-Up', 'Cherry Seven Up', 'Diet 7-Up', 'Diet 7Up', 'Diet 7 Up', 'Diet Cherry 7 Up', 'Diet Seven-Up', 'Diet Seven Up', 'Orange 7 Up', 'Pomegranate 7 Up', 'Raspberry 7 Up', '7 Up Light', 'Salted lemon 7-up', 'Salted lemon seven-up', 'Salted lemon 7 Up']
7-Eleven	['7-Eleven', 'Seven Eleven', '7 & I', "Tote'm", 'Wilson Farms', 'Big Gulp', '7 11', '7-Eleven, Inc.', 'Seven-Eleven Japan Co., Ltd.', 'Seven-Eleven Japan Co. Ltd.', 'Southland Corporation', 'Speedee-Mart', '7 Eleven', '7 eleven', 'Seven-Eleven', 'Seven-eleven', 'Seven eleven', '7-Elevens', '7-elevens', '7-Eleven Inc.', '7-eleven speakout', '7-11', 'Double gulp', '7-Eleven Wireless', 'Big gulp', '7eleven', '7-Eleven Inc', '7-Eleven Incorporated', '7-eleven', 'Seven-11', '7Eleven']
85C Bakery Cafe	['85C Bakery Cafe', '85 degrees C', '85\xc2\xb0C']
99p Stores	['99p Stores', '99p Stores Limited', '99p Stores Ltd.', '99p stores', '99p store']
A-dec	['A-dec', 'Austin Dental Equipment Company']
A. Alfred Taubman	['A. Alfred Taubman', 'Alfred Taubman', 'Al Taubman']
A&D Company	['A&D Company', 'A&D Company, Limited']
A&E Design	['A&E Design', 'A&e design', 'A & E Design', 'Tom Ahlstr\xc3\xb6m']
A&P Group	['A&P Group', 'Austin and Pickersgill', 'A&P Falmouth', 'A&P Tees', 'A&P Tyne']
Aabsal	['Aabsal', 'Absal']
Aardman Animations	['Aardman Animations', 'Aardman Animation', 'Aardman Animations, Ltd.', 'Aardman Studios', 'Aardman Features', 'Aardman', 'Ardman Animation', 'Aardman Classics', 'Ploo', 'Ploo (TV series)', 'The Cat Burglars', 'The Cat Burglars (film)']
Aashirvad Cinemas	['Aashirvad Cinemas', 'Antony Perumbavoor']
ABC Air Hungary	['ABC Air Hungary', 'ABC Air Hungary Kft', 'ABC Air Hungary Kft.', 'ABC Air Hungary Ltd', 'ABC Air Hungary Ltd.', 'ABC Air hungary', 'ABC Air hungary Kft', 'ABC Air hungary Kft.']
ABC Islamic Bank	['ABC Islamic Bank', 'ABCislamic']
ABC Kids (Australia)	['ABC Kids (Australia)', 'ABC4 Kids', 'ABC 4 Kids', 'ABC For Kids', 'ABC for Kids', 'ABC Kids Channel']
ABC Owned Television Stations	['ABC Owned Television Stations', 'Walt Disney Television Stations', 'List of ABC owned television stations', 'ABC O&O stations']
Abcam	['Abcam', 'Abcam plc']
Abellio Deutschland	['Abellio Deutschland', 'Abellio deutschland', 'Abellio (Germany)', 'Abellio Rail', 'Abellio Rail NRW']
Aberdeen Asset Management	['Aberdeen Asset Management', 'Aberdeen Asset Management plc', 'Aberdeen Asset Management PLC']
Abingdon Motorcycles	['Abingdon Motorcycles', 'Abingdon King Dick', 'AKD motorcycles']
ABN AMRO Group	['ABN AMRO Group', 'Fortis-ABN AMRO', 'ABN Amro Group NV', 'ABN Amro Group', 'ABN AMRO Group N.V.']
ABN Group	['ABN Group', 'Alcock Brown-Neaves Group']
About.com	['About.com', 'About, Inc.', 'The Mining Company', 'About.Com', 'About (website)', 'About Food', 'About Entertainment', 'Urbanlegends.about.com', 'About Group', 'About Inc.', 'The About Group']
